Exchange Date,Close
08-May-2015,7.53
15-May-2015,7.59
22-May-2015,7.30
29-May-2015,7.32
05-Jun-2015,7.40
12-Jun-2015,7.61
19-Jun-2015,7.41
26-Jun-2015,7.52
03-Jul-2015,7.42
10-Jul-2015,7.59
17-Jul-2015,7.72
24-Jul-2015,7.98
31-Jul-2015,7.85
07-Aug-2015,7.76
14-Aug-2015,8.30
21-Aug-2015,8.18
28-Aug-2015,8.09
04-Sep-2015,8.07
11-Sep-2015,8.24
18-Sep-2015,8.09
25-Sep-2015,7.98
02-Oct-2015,8.13
09-Oct-2015,8.33
16-Oct-2015,8.38
23-Oct-2015,8.62
30-Oct-2015,8.63
06-Nov-2015,8.40
13-Nov-2015,8.39
20-Nov-2015,8.51
27-Nov-2015,8.58
04-Dec-2015,8.52
11-Dec-2015,8.07
18-Dec-2015,8.06
25-Dec-2015,8.19
08-Jan-2016,7.41
15-Jan-2016,6.67
22-Jan-2016,6.32
29-Jan-2016,6.04
05-Feb-2016,5.54
12-Feb-2016,5.05
19-Feb-2016,5.15
26-Feb-2016,4.98
04-Mar-2016,4.92
11-Mar-2016,4.98
18-Mar-2016,4.93
25-Mar-2016,4.84
01-Apr-2016,5.16
08-Apr-2016,5.41
15-Apr-2016,5.47
22-Apr-2016,5.96
29-Apr-2016,6.17
06-May-2016,5.85
13-May-2016,5.84
20-May-2016,5.95
27-May-2016,6.02
03-Jun-2016,5.93
10-Jun-2016,5.94
17-Jun-2016,5.66
24-Jun-2016,4.95
01-Jul-2016,4.61
08-Jul-2016,4.53
15-Jul-2016,4.92
22-Jul-2016,4.55
29-Jul-2016,4.41
05-Aug-2016,4.72
12-Aug-2016,4.89
19-Aug-2016,4.76
26-Aug-2016,4.69
02-Sep-2016,4.08
09-Sep-2016,4.08
16-Sep-2016,4.36
23-Sep-2016,4.54
30-Sep-2016,4.96
07-Oct-2016,5.69
14-Oct-2016,5.81
21-Oct-2016,5.89
28-Oct-2016,5.88
04-Nov-2016,6.41
11-Nov-2016,5.67
18-Nov-2016,5.58
25-Nov-2016,5.00
02-Dec-2016,4.30
09-Dec-2016,4.46
16-Dec-2016,4.93
23-Dec-2016,6.22
30-Dec-2016,6.54
06-Jan-2017,5.03
13-Jan-2017,5.03
20-Jan-2017,5.42
27-Jan-2017,4.91
03-Feb-2017,5.15
10-Feb-2017,5.11
17-Feb-2017,4.97
24-Feb-2017,5.38
03-Mar-2017,5.59
10-Mar-2017,5.16
17-Mar-2017,5.13
24-Mar-2017,4.76
31-Mar-2017,4.68
07-Apr-2017,4.88
14-Apr-2017,4.94
21-Apr-2017,4.56
28-Apr-2017,4.56
05-May-2017,4.57
12-May-2017,4.45
19-May-2017,4.85
26-May-2017,5.19
02-Jun-2017,5.16
09-Jun-2017,5.04
16-Jun-2017,4.87
23-Jun-2017,4.86
30-Jun-2017,5.02
07-Jul-2017,5.33
14-Jul-2017,5.41
21-Jul-2017,5.08
28-Jul-2017,5.17
04-Aug-2017,5.34
11-Aug-2017,5.38
18-Aug-2017,5.81
25-Aug-2017,6.08
01-Sep-2017,5.82
08-Sep-2017,7.06
15-Sep-2017,6.94
22-Sep-2017,6.64
29-Sep-2017,7.06
06-Oct-2017,6.99
13-Oct-2017,7.32
20-Oct-2017,7.57
27-Oct-2017,7.17
03-Nov-2017,7.88
10-Nov-2017,7.40
17-Nov-2017,7.48
24-Nov-2017,7.77
01-Dec-2017,7.68
08-Dec-2017,7.14
15-Dec-2017,7.18
22-Dec-2017,8.15
29-Dec-2017,8.14
05-Jan-2018,7.75
12-Jan-2018,7.83
19-Jan-2018,8.73
26-Jan-2018,9.06
02-Feb-2018,8.93
09-Feb-2018,9.21
16-Feb-2018,9.50
23-Feb-2018,9.79
02-Mar-2018,10.12
09-Mar-2018,11.10
16-Mar-2018,11.15
23-Mar-2018,12.58
30-Mar-2018,13.26
06-Apr-2018,12.96
13-Apr-2018,13.90
20-Apr-2018,13.01
27-Apr-2018,13.51
04-May-2018,12.98
11-May-2018,14.60
18-May-2018,15.22
25-May-2018,15.97
01-Jun-2018,15.26
08-Jun-2018,15.79
15-Jun-2018,14.50
22-Jun-2018,15.09
29-Jun-2018,14.95
06-Jul-2018,15.66
13-Jul-2018,16.02
20-Jul-2018,17.03
27-Jul-2018,17.08
03-Aug-2018,17.63
10-Aug-2018,17.85
17-Aug-2018,18.10
24-Aug-2018,20.65
31-Aug-2018,21.06
07-Sep-2018,23.19
14-Sep-2018,19.94
21-Sep-2018,22.08
28-Sep-2018,21.16
05-Oct-2018,22.11
12-Oct-2018,20.35
19-Oct-2018,19.70
26-Oct-2018,18.28
02-Nov-2018,17.08
09-Nov-2018,19.50
16-Nov-2018,19.11
23-Nov-2018,20.21
30-Nov-2018,20.50
07-Dec-2018,20.29
14-Dec-2018,23.37
21-Dec-2018,24.60
28-Dec-2018,24.64
04-Jan-2019,23.50
11-Jan-2019,22.59
18-Jan-2019,24.68
25-Jan-2019,23.76
01-Feb-2019,21.84
08-Feb-2019,22.23
15-Feb-2019,20.30
22-Feb-2019,18.84
01-Mar-2019,22.18
08-Mar-2019,22.91
15-Mar-2019,22.36
22-Mar-2019,20.56
29-Mar-2019,21.44
05-Apr-2019,24.53
12-Apr-2019,26.50
19-Apr-2019,26.81
26-Apr-2019,25.78
03-May-2019,25.12
10-May-2019,25.54
17-May-2019,24.92
24-May-2019,25.40
31-May-2019,24.39
07-Jun-2019,24.44
14-Jun-2019,24.99
21-Jun-2019,25.24
28-Jun-2019,26.24
05-Jul-2019,26.34
12-Jul-2019,28.76
19-Jul-2019,28.85
26-Jul-2019,28.25
02-Aug-2019,29.23
09-Aug-2019,28.10
16-Aug-2019,25.95
23-Aug-2019,25.08
30-Aug-2019,26.31
06-Sep-2019,25.08
13-Sep-2019,26.37
20-Sep-2019,26.51
27-Sep-2019,25.29
04-Oct-2019,22.94
11-Oct-2019,24.44
18-Oct-2019,25.87
25-Oct-2019,24.96
01-Nov-2019,25.28
08-Nov-2019,24.83
15-Nov-2019,23.84
22-Nov-2019,24.57
29-Nov-2019,25.22
06-Dec-2019,24.94
13-Dec-2019,24.02
20-Dec-2019,26.55
27-Dec-2019,26.58
03-Jan-2020,24.88
10-Jan-2020,24.12
17-Jan-2020,25.36
24-Jan-2020,24.31
31-Jan-2020,23.81
07-Feb-2020,23.26
14-Feb-2020,24.24
21-Feb-2020,25.56
28-Feb-2020,23.57
06-Mar-2020,23.39
13-Mar-2020,21.89
20-Mar-2020,16.04
27-Mar-2020,16.26
03-Apr-2020,17.86
10-Apr-2020,20.98
17-Apr-2020,21.61
24-Apr-2020,20.66
01-May-2020,18.90
